nemonico,valores
idEPS,0
idEPS,05000
idEPS,08000
idEPS,08001
idEPS,11001
idEPS,13000
idEPS,13001
idEPS,15000
idEPS,17000
idEPS,18000
idEPS,19000
idEPS,20000
idEPS,23000
idEPS,25000
idEPS,27000
idEPS,"37086
"
idEPS,41000
idEPS,44000
idEPS,47000
idEPS,47001
idEPS,50000
idEPS,52000
idEPS,54000
idEPS,55
idEPS,63000
idEPS,66000
idEPS,68000
idEPS,70000
idEPS,73000
idEPS,76000
idEPS,76109
idEPS,8
idEPS,806007650
idEPS,81000
idEPS,817001773
idEPS,85000
idEPS,86000
idEPS,88000
idEPS,888888
idEPS,890300513
idEPS,890303841
idEPS,890981374
idEPS,891580016
idEPS,9
idEPS,91000
idEPS,94000
idEPS,95000
idEPS,97000
idEPS,99
idEPS,99000
idEPS,999999
idEPS,ARL1423
idEPS,ARL1428
idEPS,ARL1429
idEPS,ARL144
idEPS,ARL370
idEPS,AUDHEP01
idEPS,AUDHEP02
idEPS,AUDITA
idEPS,CACIPS
idEPS,CCF001
idEPS,CCF002
idEPS,CCF007
idEPS,CCF009
idEPS,CCF015
idEPS,CCF018
idEPS,CCF023
idEPS,CCF024
idEPS,CCF027
idEPS,CCF028
idEPS,CCF031
idEPS,CCF032
idEPS,CCF033
idEPS,CCF035
idEPS,CCF037
idEPS,CCF045
idEPS,CCF049
idEPS,CCF050
idEPS,CCF053
idEPS,CCF055
idEPS,CCF101
idEPS,CCF102
idEPS,CCF103
idEPS,CCFC07
idEPS,CCFC09
idEPS,CCFC10
idEPS,CCFC15
idEPS,CCFC18
idEPS,CCFC20
idEPS,CCFC23
idEPS,CCFC24
idEPS,CCFC27
idEPS,CCFC33
idEPS,CCFC45
idEPS,CCFC50
idEPS,CCFC53
idEPS,CCFC55
idEPS,CD
idEPS,EAS016
idEPS,EAS027
idEPS,EMP002
idEPS,EMP015
idEPS,EMP017
idEPS,EMP019
idEPS,EMP023
idEPS,EMP025
idEPS,EMP028
idEPS,EMP029
idEPS,EPS001
idEPS,EPS002
idEPS,EPS003
idEPS,EPS005
idEPS,EPS006
idEPS,EPS008
idEPS,EPS009
idEPS,EPS010
idEPS,EPS012
idEPS,EPS013
idEPS,EPS014
idEPS,EPS015
idEPS,EPS016
idEPS,EPS017
idEPS,EPS018
idEPS,EPS020
idEPS,EPS021
idEPS,EPS022
idEPS,EPS023
idEPS,EPS024
idEPS,EPS025
idEPS,EPS026
idEPS,EPS028
